HP1BP3	OR1Q1
FBN2	PDB1
KRTAP10-4	MRX56
C20orf43	URB2
ZMAT5	LINC00639
STX5	ZFP92
OR6N2	POLR2B
PHC1B	OR10R2
HIGD2A	HMOX1
NKAIN4	NUDT14
ACAA2	ATP13A1
NXF2	OR9Q1
MIR133A1	STT3A
EXOC3L4	MYH6
HIST1H2BJ	MIR125B2
PRUNE2	SFT2D3
GYPA	ATXN2L
ACPT	PIK3R1
HOXC6	SAMD14
WRN	C11orf51
ALS2	SNX27
SNTB1	EIF3H
CD6	SP9
DBN1	PADI3
RBM3	MYOM2
DHRS4L2	FAM122B
CAND1	R3HDM2
ZEB2	HEG1
NUDT13	ZNF480
AP3M2	FBXO36
FAM64A	ABCB9
CRP	SNORD19
TNNI3	SMIM14
STX5	HSCB
BRMS1	TAOK3
CSPG5	GNA13
SOX10	H2AFV
IRAK1	LOC81691
ABCF2	BCAP29
CACNG7	TMEM244
IGHV@	ITGA7
KRT3	CCDC85C
RPEP4	STX16-NPEPL1
EMP2	SLC4A11
PRPH	CDC25C
ARMC9	MED18
TOPAZ1	RPL36AL
PPP1R8	HLA-E
RMI1	DUSP1
RABL2B	TRAJ52
AP3M1	DSG2
S100G	MOB1A
LRRC47	OR51G1
SHFM1	PUS7
C2orf44	SETD6
NRK	SGMS1
HNRNPLL	CCAT2
UTRN	MACC1
EPHX2	VPS16
CTSL	RELN
MBNL3	CCDC121
OR14A16	NT5C1B
PICK1	LUZP1
TM4SF5	STX17
IMPA1	FOXRED2
DNAJC10	ABLIM3
MPP1	NMI
HECTD2	ACADVL
KDM5B	P2RY13
ZC3H13	KIT
SHFM2	MED11
MDM2	LETM1
CAPN15	ENPP2
DNM1L	NLRP3
FOLR1	WRAP73
ISCU	GRASP
ASIC1	SUPT20HL2
S100A5	KRT9
SZT2	KIAA1549L
SMUG1	DYNC2H1
LRRC8D	FAM107A
MRX17	MYO5A
HELB	FUT5
HNF4A	STARD6
RBM4	ZNF189
ARL16	RNF122
SYT2	MED9
SLC26A10	CCDC34
CYP4B1	CPT1A
IFT57	HBM
CCDC149	LINC00035
L2HGDH	MANEA
ITIH2	CXCL10
MAGED1	LINC00324
SLC6A6	UNC5B
STAG1	ZNF843
GABRB1	BAP1
EEF2K	MRX85
DGCR2	TTC16
RPRD2	APPBP2
LEFTY1	LINC00303
LXN	MRX77
H2AFY	CHMP4C
ZNF513	NUCKS1
TRIM33	CACNB3
ZCCHC6	ZNF347
OR14A16	C2orf16
LINC00839	FTO
KCNA7	DDX56
CRLF3	DHX15
HPN	FEB7
FAM60A	OR5H2
ARF6	SLC25A53
NR4A1	SPG23
MRX61	FAS-AS1
LUM	LIN37
TCAIM	SI
OR4S2	PEA15
REEP5	GUCY2D
MATN4	SWI5
TMEM179B	TINAG
CDK4	YTHDF2
ARNT	DRC1
PABPN1	BDNF-AS
SULT1A3	STAT5A
AGXT2L2	CEP192
KLHDC4	WISP1
CPNE3	LINC01013
TICAM1	MAPK10
MIR494	SPG21
LINC00892	C1orf21
RPL26	LRRC46
F8	FMR3
DDX3Y	APIP
EDA2R	JADE1
PGAM1	SLC22A17
PSORS2	SENP7
ICR1	NEU1
ZFP90	COPS4
HIST1H3G	DZANK1
C9orf21	ATL3
LINC01060	MBNL3
KLHL42	STEAP4
PLD6	RPS6KC1
HOXD10	TMBIM6
SYF2	EMC8
GAPVD1	PPAT
P2RX5	SNORD92
WDR16	C17orf106
NKD1	DENND6B
DAG1	TMEM101
MISP	DDX11
CPEB1	TUBG2
TCTN1	GRHL1
BEST2	KRT3
ANKRD60	ZNF727
OR10C1	ZNF784
FAM222B	SNORA27
PDK4	MPP6
VWA7	GYPC
FOXI1	SUPT7L
IGKC	PXDNL
MRPS12	MMP14
NOB1	KIAA1429
PIWIL3	C6orf136
CCT7	TIGD1
TBC1D24	GGCX
ZNF227	IL2
FAM101B	ADAM32
LINC01046	S7
HEXDC	NEDD1
NOS1AP	TIE1
RPS17P5	PKN2
MYBPC2	KCNQ1
UGGT1	ZDHHC6
MTF2	ZNF165
SPHKAP	LINC01021
TBKBP1	ETM1
MYBPC1	KLHL42
SSX2	MAOA
PCDHGC3	LSM6
KIF11	SLC9C1
AIP	DLL4
FAM118B	LAMA3
EARS2	ZNF683
KRTAP4-7	IKZF5
DDTL	ZSCAN20
UBE2F	PLEKHH2
ESF1	TBC1D31
MINK1	OR10G3
RASEF	IGLC2
NLRC5	FBLIM1
MIPOL1	SQLE
MED31	RPL18A
CXCL8	CDHR2
SEPW1	TRIP13
DNAJB9	USMG5
GOLGA6L3	CPLX2
APOBEC3C	VDAC1P4
MKL1	BLCAP
FGFR3	OR2W5
IBD8	ZNF143
UMPS	HSBP1L1
ZP1	CFTR
TAF9B	ADH4
ADAM7	LINC00322
NRGN	TULP1
ZDHHC6	HS3ST4
CSF2RA	OR6T1
MOB3B	UPB1
CEACAM8	IGIP
GEM	PHBP4
HIST1H4H	CDH3
PDF	SERPIND1
DISC2	KCTD16
LPPR3	CMC2
ACSBG1	NR3C1
HNRNPM	ARHGAP1
GDAP1	ESCO2
EDA	CLEC16A
SSU72	ICR3
GPR27	PLOD3
NCAPH	LINC00421
MZT1	KLHL24
PLAGL1	PLA2G3
SGSH	B3GALT6
USP38	HKDC1
NOP9	OR1I1
CCR7	CPEB2
RAB11FIP2	SEC23IP
PCDH19	DYNC1I1
CEP55	YTHDC1
GLB1L	PPARGC1A
KCNE2	ABCB5
DYRK1A	RANBP17
SMARCC1	GTF3C5
ZNF530	PIPOX
C20orf96	NUFIP1
TMEM38B	CCDC57
CDH16	BCRP4
CASS4	FAM104B
TAB3	LUZP1
CENPK	KIF2C
RNF180	TRAPPC10
NEDD1	ICR3
SGCE	CHUK
ZNF414	FZD4
CMC4	GALNT16
SLC17A4	TAX1BP3
LINC00428	TJP2
SLC22A11	GRIPAP1
IGHG4	MCM3
TMEM133	FXC1
DHRS7B	FAP
SKA2	C21orf2
